id,gender,masterCategory,subCategory,articleType,baseColour,MoodBase,season,usage,productDisplayName
1,women,Apparel,Topwear,skirts,Red,Good,fall,Casual,"For Women , A sleeveless dress with a fitted bodice and flared skirt, featuring a retro bird and flower print in red, teal, and beige For Women ,"
2,women,Apparel,Topwear,skirts,Green,Good,summer,Casual,"For Women , A sleeveless dress with a fitted bodice and flared skirt, featuring a small green floral pattern on the white top and a larger yellow floral print on the green skirt, creating a fresh, springtime look For Women ,"
3,women,Apparel,Topwear,skirts,Purple,Good,summer,Casual,"For Women , A sleeveless, lavender-accented dress with a fitted waist and flared skirt, featuring a delicate purple leaf and dot pattern on a light beige background, offering a soft, feminine, and elegant style For Women ,"
4,women,Apparel,Topwear,dress,White,Bad,summer,Casual,"For Women , A sleeveless, A-line dress with a fitted bodice featuring vertical gray and white stripes For Women ,"
5,women,Apparel,Topwear,dress,Pink,Bad,summer,Casual,"For Women , A sleeveless, fitted-waist dress made of soft cotton, featuring a dark gray background with bold pink, purple, and blue floral patterns For Women ,"
6,women,Apparel,Topwear,skirts,Green,Good,fall,Casual,"For Women , A sleeveless, scoop-neck dress with a fitted bodice and flared skirt For Women ,"
7,women,Apparel,Topwear,skirts,Yellow,Good,summer,Casual,"For Women , A sleeveless halter-neck dress in a warm mustard yellow, featuring subtle leaf motifs For Women ,"
8,women,Apparel,Topwear,skirts,Beige,Good,winter,Casual,"For Women , Navy blue, long-sleeved tunic with intricate beige embroidery along the neckline, cuffs, and hem For Women ,"
9,women,Apparel,Topwear,skirts,Shine,Good,winter,Casual,"For Women , A teal, long-sleeved tunic with an all-over shiny floral pattern For Women ,"
10,women,Apparel,Topwear,kurtas,Purple,Good,summer,Casual,"For Women , A black cotton kurta adorned with small purple embroidered floral motifs and detailed trim on the neckline and cuffs For Women ,"
11,women,Apparel,Topwear,kurtas,Orange,Good,fall,Casual,"For Women , A rust-orange kurta with intricate white embroidery along the neckline and sleeves For Women ,"
12,women,Apparel,Topwear,kurtas,Black,Good,fall,Casual,"For Women , A black kurta with three-quarter sleeves, featuring intricate pink floral embroidery across the chest and hem For Women ,"
13,women,Apparel,Topwear,skirts,Beige,Good,fall,Casual,"For Women , A maroon, full-sleeved kurta adorned with a repeating beige motif and detailed embroidery on the neckline For Women ,"
14,women,Apparel,Topwear,skirts,Black,Good,fall,Casual,"For Women , A dark teal, three-quarter sleeve kurta with subtle floral embroidery on the neckline, sleeves, and hem For Women ,"
15,women,Apparel,Topwear,kurtas,Pink,Bad,fall,Casual,"For Women , A pastel pink kurta with delicate yellow floral patterns and scalloped edges along the hem and sleeves For Women ,"
16,women,Apparel,Topwear,kurtas,Green,Good,fall,Casual,"For Women , A deep green traditional kurta made from soft fabric, adorned with intricate tonal embroidery across the neckline, chest, and hem For Women ,"
17,women,Apparel,Topwear,kurtas,Brown,Good,fall,Casual,"For Women , A brown, three-quarter sleeve cotton kurta with a soft texture, featuring a repeating white floral pattern and a simple round neckline with delicate floral details, offering a casual, traditional everyday look For Women ,"
18,women,Apparel,Topwear,tops,Black,Good,fall,Casual,"For Women , A black, bohemian-style top with wide sleeves, crafted from lightweight cotton with tiny white speckles For Women ,"
19,women,Apparel,Topwear,skirts,Green,Good,fall,Casual,"For Women , A green, three-quarter sleeve cotton kurta adorned with small red floral motifs For Women ,"
20,women,Apparel,Topwear,skirts,white,Good,fall,Casual,"For Women , A white chiffon kurta with three-quarter sleeves, featuring delicate blue embroidery along the neckline, sleeves, and panels For Women ,"
21,women,Apparel,Topwear,skirts,Beige,Good,fall,Casual,"For Women , A slate blue, three-quarter sleeve top with intricate beige embroidery along the neckline, shoulders, and sleeves For Women ,"
22,women,Apparel,Topwear,skirts,Green,Good,summer,Casual,"For Women , A light mint green kurta with three-quarter sleeves, featuring delicate floral embroidery and geometric patterns across the bodice For Women ,"
23,women,Apparel,Topwear,skirts,Beige,Good,summer,Casual,"For Women , A beige, three-quarter sleeve kurta featuring intricate multicolored embroidery with floral and geometric patterns For Women ,"
24,women,Apparel,Topwear,skirts,Teal,Good,fall,Casual,"For Women , A teal, three-quarter sleeve kurta with delicate tone-on-tone embroidery on the front panel and cuffs For Women ,"
25,women,Apparel,Topwear,skirts,neavy Blue,Good,fall,Casual,"For Women , A navy blue, three-quarter sleeve kurta with intricate white and pink vertical embroidery along the front panel and sleeves For Women ,"
26,women,Apparel,Topwear,skirts,Blue,Good,fall,Casual,"For Women , A dark navy blue kurta with subtle texture and three-quarter sleeves, featuring delicate neon green embroidery along the neckline and side slits For Women ,"
27,women,Apparel,Topwear,skirts,Purple,Good,summer,Casual,"For Women , A rich purple kurta with tonal embroidery across the front and sleeves For Women ,"
28,women,Apparel,Topwear,skirts,Yellow,Good,fall,Casual,"For Women , A bright yellow kurta with three-quarter sleeves, featuring a green floral block print and matching green embroidery along the neckline and hem For Women ,"
29,women,Apparel,Topwear,skirts,Magenta,Good,fall,Casual,"For Women , A deep magenta kurta with a subtle chevron pattern, enhanced by shimmering sequin detailing For Women ,"
30,women,Apparel,Topwear,kurtas,Green,Good,fall,Casual,"For Women , A deep green, three-quarter sleeve kurta with a minimal design For Women ,"
31,women,Apparel,Topwear,kurtas,Blue,Good,fall,Casual,"For Women , A light grayish-blue kurta featuring delicate white embroidery along the neckline, sleeves, and scattered across the front For Women ,"
32,women,Apparel,Topwear,kurtas,Cream,Bad,fall,Casual,"For Women , A light cream kurta with three-quarter sleeves, featuring a soft blue and green floral pattern throughout For Women ,"
33,women,Apparel,Topwear,kurtas,Maroon,Good,fall,Casual,"For Women , A deep maroon kurta adorned with intricate pink embroidery and mirror work along the front and sleeves For Women ,"
34,women,Apparel,Topwear,kurtas,Blue,Good,fall,Casual,"For Women , A soft pastel blue kurta with flared three-quarter sleeves, adorned with delicate floral embroidery and pink lace detailing on the cuffs For Women ,"
35,women,Apparel,Topwear,kurtas,sky Blue,Good,winter,Casual,"For Women , A light sky blue kurta featuring subtle white embroidered motifs scattered across the fabric For Women ,"
36,women,Apparel,Topwear,kurtas,White,Bad,winter,Casual,"For Women , A white kurta with intricate black geometric and floral embroidery, accentuated by bold pink detailing along the neckline and front panel For Women ,"
37,women,Apparel,Topwear,kurtas,lime Green,Good,winter,Casual,"For Women , A lime green kurta adorned with detailed black floral and geometric embroidery For Women ,"
38,women,Apparel,Topwear,kurtas,mint Green,Good,winter,Casual,"For Women , A mint green kurta featuring intricate black embroidery along the neckline, front panel, and cuffs For Women ,"
39,women,Apparel,Topwear,kurtas,pastel Green,Good,fall,Casual,"For Women , A light pastel green kurta with delicate striped detailing and soft floral embroidery For Women ,"
40,women,Apparel,Topwear,kurtas,pink,Good,fall,Casual,"For Women , A bright pink kurta with a subtle geometric diamond pattern throughout For Women ,"
41,women,Apparel,Topwear,kurtas,pink,Good,fall,Casual,"For Women , A soft pink kurta featuring vertical stripes and delicate floral embroidery along the hem For Women ,"
42,women,Apparel,Topwear,kurtas,pink,Good,winter,Casual,"For Women , A vibrant pink kurta with white floral embroidery and contrasting lighter pink detailing along the cuffs and hem For Women ,"
43,women,Apparel,Topwear,kurtas,lime Green,Good,winter,Casual,"For Women , A lime green kurta featuring a repeating black and white geometric print, with black embroidered accents along the neckline and sleeves For Women ,"
44,women,Apparel,Topwear,kurtas,Green,Good,fall,Casual,"For Women , A deep green kurta with a subtle floral pattern, accented by contrasting peach embroidery along the neckline, cuffs, and side slits For Women ,"
45,women,Apparel,Topwear,kurtas,Magenta,Good,fall,Casual,"For Women , A bright magenta kurta adorned with intricate light blue floral embroidery across the front and sleeves For Women ,"
46,women,Apparel,Topwear,skirts,Cream,Bad,winter,Casual,"For Women , A cream floral kurta with red and green botanical prints, featuring flared sleeves with intricate red lace trim For Women ,"
47,women,Apparel,Topwear,skirts,aqua blue,Good,fall,Casual,"For Women , A light aqua blue kurta with shimmering silver embroidery and sequins throughout For Women ,"
48,women,Apparel,Topwear,skirts,Green,Good,winter,Casual,"For Women , A dark green kurta adorned with intricate beige embroidery and vibrant orange floral accents along the side and sleeve For Women ,"
49,women,Apparel,Topwear,skirts,Purple,Good,fall,Casual,"For Women , A deep purple kurta featuring geometric embroidery in beige and orange, with an abstract design that spreads across the front and sleeves For Women ,"
50,women,Apparel,Topwear,skirts,ornate,Good,fall,Casual,"For Women , A dark, ornate kurta with intricate floral and geometric embroidery in shades of pink, purple, and gold For Women ,"
