id,gender,masterCategory,subCategory,articleType,baseColour,MoodBase,season,usage,productDisplayName
1,Women,Apparel,Topwear,Skirts,Red,Good,Fall,Casual,"For Women , A sleeveless dress with a fitted bodice and flared skirt, featuring a retro bird and flower print in red, teal, and beige For Women ,"
2,Women,Apparel,Topwear,Skirts,Green,Good,Summer,Casual,"For Women , A sleeveless dress with a fitted bodice and flared skirt, featuring a small green floral pattern on the white top and a larger yellow floral print on the green skirt, creating a fresh, springtime look For Women ,"
3,Women,Apparel,Topwear,Skirts,Purple,Good,Summer,Casual,"For Women , A sleeveless, lavender-accented dress with a fitted waist and flared skirt, featuring a delicate purple leaf and dot pattern on a light beige background, offering a soft, feminine, and elegant style For Women ,"
4,Women,Apparel,Topwear,Dress,White,Bad,Summer,Casual,"For Women , A sleeveless, A-line dress with a fitted bodice featuring vertical gray and white stripes For Women ,"
5,Women,Apparel,Topwear,Dress,Pink,Bad,Summer,Casual,"For Women , A sleeveless, fitted-waist dress made of soft cotton, featuring a dark gray background with bold pink, purple, and blue floral patterns For Women ,"
6,Women,Apparel,Topwear,Skirts,Green,Good,Fall,Casual,"For Women , A sleeveless, scoop-neck dress with a fitted bodice and flared skirt For Women ,"
7,Women,Apparel,Topwear,Skirts,Yellow,Good,Summer,Casual,"For Women , A sleeveless halter-neck dress in a warm mustard yellow, featuring subtle leaf motifs For Women ,"
8,Women,Apparel,Topwear,Skirts,Beige,Good,Winter,Casual,"For Women , Navy blue, long-sleeved tunic with intricate beige embroidery along the neckline, cuffs, and hem For Women ,"
9,Women,Apparel,Topwear,Skirts,Shine,Good,Winter,Casual,"For Women , A teal, long-sleeved tunic with an all-over shiny floral pattern For Women ,"
10,Women,Apparel,Topwear,Kurtas,Purple,Good,Summer,Casual,"For Women , A black cotton kurta adorned with small purple embroidered floral motifs and detailed trim on the neckline and cuffs For Women ,"
11,Women,Apparel,Topwear,Kurtas,Orange,Good,Fall,Casual,"For Women , A rust-orange kurta with intricate white embroidery along the neckline and sleeves For Women ,"
12,Women,Apparel,Topwear,Kurtas,Black,Good,Fall,Casual,"For Women , A black kurta with three-quarter sleeves, featuring intricate pink floral embroidery across the chest and hem For Women ,"
13,Women,Apparel,Topwear,Skirts,Beige,Good,Fall,Casual,"For Women , A maroon, full-sleeved kurta adorned with a repeating beige motif and detailed embroidery on the neckline For Women ,"
14,Women,Apparel,Topwear,Skirts,Black,Good,Fall,Casual,"For Women , A dark teal, three-quarter sleeve kurta with subtle floral embroidery on the neckline, sleeves, and hem For Women ,"
15,Women,Apparel,Topwear,Kurtas,Pink,Bad,Fall,Casual,"For Women , A pastel pink kurta with delicate yellow floral patterns and scalloped edges along the hem and sleeves For Women ,"
16,Women,Apparel,Topwear,Kurtas,Green,Good,Fall,Casual,"For Women , A deep green traditional kurta made from soft fabric, adorned with intricate tonal embroidery across the neckline, chest, and hem For Women ,"
17,Women,Apparel,Topwear,Kurtas,Brown,Good,Fall,Casual,"For Women , A brown, three-quarter sleeve cotton kurta with a soft texture, featuring a repeating white floral pattern and a simple round neckline with delicate floral details, offering a casual, traditional everyday look For Women ,"
18,Women,Apparel,Topwear,Tops,Black,Good,Fall,Casual,"For Women , A black, bohemian-style top with wide sleeves, crafted from lightweight cotton with tiny white speckles For Women ,"
19,Women,Apparel,Topwear,Skirts,Green,Good,Fall,Casual,"For Women , A green, three-quarter sleeve cotton kurta adorned with small red floral motifs For Women ,"
20,Women,Apparel,Topwear,Skirts,white,Good,Fall,Casual,"For Women , A white chiffon kurta with three-quarter sleeves, featuring delicate blue embroidery along the neckline, sleeves, and panels For Women ,"
21,Women,Apparel,Topwear,Skirts,Beige,Good,Fall,Casual,"For Women , A slate blue, three-quarter sleeve top with intricate beige embroidery along the neckline, shoulders, and sleeves For Women ,"
22,Women,Apparel,Topwear,Skirts,Green,Good,Summer,Casual,"For Women , A light mint green kurta with three-quarter sleeves, featuring delicate floral embroidery and geometric patterns across the bodice For Women ,"
23,Women,Apparel,Topwear,Skirts,Beige,Good,Summer,Casual,"For Women , A beige, three-quarter sleeve kurta featuring intricate multicolored embroidery with floral and geometric patterns For Women ,"
24,Women,Apparel,Topwear,Skirts,Teal,Good,Fall,Casual,"For Women , A teal, three-quarter sleeve kurta with delicate tone-on-tone embroidery on the front panel and cuffs For Women ,"
25,Women,Apparel,Topwear,Skirts,neavy Blue,Good,Fall,Casual,"For Women , A navy blue, three-quarter sleeve kurta with intricate white and pink vertical embroidery along the front panel and sleeves For Women ,"
26,Women,Apparel,Topwear,Skirts,Blue,Good,Fall,Casual,"For Women , A dark navy blue kurta with subtle texture and three-quarter sleeves, featuring delicate neon green embroidery along the neckline and side slits For Women ,"
27,Women,Apparel,Topwear,Skirts,Purple,Good,Summer,Casual,"For Women , A rich purple kurta with tonal embroidery across the front and sleeves For Women ,"
28,Women,Apparel,Topwear,Skirts,Yellow,Good,Fall,Casual,"For Women , A bright yellow kurta with three-quarter sleeves, featuring a green floral block print and matching green embroidery along the neckline and hem For Women ,"
29,Women,Apparel,Topwear,Skirts,Magenta,Good,Fall,Casual,"For Women , A deep magenta kurta with a subtle chevron pattern, enhanced by shimmering sequin detailing For Women ,"
30,Women,Apparel,Topwear,Kurtas,Green,Good,Fall,Casual,"For Women , A deep green, three-quarter sleeve kurta with a minimal design For Women ,"
31,Women,Apparel,Topwear,Kurtas,Blue,Good,Fall,Casual,"For Women , A light grayish-blue kurta featuring delicate white embroidery along the neckline, sleeves, and scattered across the front For Women ,"
32,Women,Apparel,Topwear,Kurtas,Cream,Bad,Fall,Casual,"For Women , A light cream kurta with three-quarter sleeves, featuring a soft blue and green floral pattern throughout For Women ,"
33,Women,Apparel,Topwear,Kurtas,Maroon,Good,Fall,Casual,"For Women , A deep maroon kurta adorned with intricate pink embroidery and mirror work along the front and sleeves For Women ,"
34,Women,Apparel,Topwear,Kurtas,Blue,Good,Fall,Casual,"For Women , A soft pastel blue kurta with flared three-quarter sleeves, adorned with delicate floral embroidery and pink lace detailing on the cuffs For Women ,"
35,Women,Apparel,Topwear,Kurtas,sky Blue,Good,Winter,Casual,"For Women , A light sky blue kurta featuring subtle white embroidered motifs scattered across the fabric For Women ,"
36,Women,Apparel,Topwear,Kurtas,White,Bad,Winter,Casual,"For Women , A white kurta with intricate black geometric and floral embroidery, accentuated by bold pink detailing along the neckline and front panel For Women ,"
37,Women,Apparel,Topwear,Kurtas,lime Green,Good,Winter,Casual,"For Women , A lime green kurta adorned with detailed black floral and geometric embroidery For Women ,"
38,Women,Apparel,Topwear,Kurtas,mint Green,Good,Winter,Casual,"For Women , A mint green kurta featuring intricate black embroidery along the neckline, front panel, and cuffs For Women ,"
39,Women,Apparel,Topwear,Kurtas,pastel Green,Good,Fall,Casual,"For Women , A light pastel green kurta with delicate striped detailing and soft floral embroidery For Women ,"
40,Women,Apparel,Topwear,Kurtas,pink,Good,Fall,Casual,"For Women , A bright pink kurta with a subtle geometric diamond pattern throughout For Women ,"
41,Women,Apparel,Topwear,Kurtas,pink,Good,Fall,Casual,"For Women , A soft pink kurta featuring vertical stripes and delicate floral embroidery along the hem For Women ,"
42,Women,Apparel,Topwear,Kurtas,pink,Good,Winter,Casual,"For Women , A vibrant pink kurta with white floral embroidery and contrasting lighter pink detailing along the cuffs and hem For Women ,"
43,Women,Apparel,Topwear,Kurtas,lime Green,Good,Winter,Casual,"For Women , A lime green kurta featuring a repeating black and white geometric print, with black embroidered accents along the neckline and sleeves For Women ,"
44,Women,Apparel,Topwear,Kurtas,Green,Good,Fall,Casual,"For Women , A deep green kurta with a subtle floral pattern, accented by contrasting peach embroidery along the neckline, cuffs, and side slits For Women ,"
45,Women,Apparel,Topwear,Kurtas,Magenta,Good,Fall,Casual,"For Women , A bright magenta kurta adorned with intricate light blue floral embroidery across the front and sleeves For Women ,"
46,Women,Apparel,Topwear,Skirts,Cream,Bad,Winter,Casual,"For Women , A cream floral kurta with red and green botanical prints, featuring flared sleeves with intricate red lace trim For Women ,"
47,Women,Apparel,Topwear,Skirts,aqua blue,Good,Fall,Casual,"For Women , A light aqua blue kurta with shimmering silver embroidery and sequins throughout For Women ,"
48,Women,Apparel,Topwear,Skirts,Green,Good,Winter,Casual,"For Women , A dark green kurta adorned with intricate beige embroidery and vibrant orange floral accents along the side and sleeve For Women ,"
