temperature,feels_like,humidity,wind_speed,weather_condition,time_of_day,season,occasion,recommended_top,recommended_bottom,recommended_outer
8,9,70,8.518752560807997,foggy,night,winter,casual,tops,trousers,coat
13,14,72,4.4272584119065295,foggy,morning,winter,casual,shirts,trousers,coat
5,3,41,1.9889243342084273,clear,evening,winter,casual,shirts,leggings,puffer jacket
11,11,89,10.956888415186135,clear,afternoon,winter,party,tops,trousers,puffer jacket
5,7,63,13.419973580540596,sunny,afternoon,winter,work,kurtas,leggings,coat
13,15,85,6.75807680942538,sunny,evening,winter,work,kurtas,jeans,puffer jacket
10,10,55,10.646284359258813,sunny,morning,winter,work,kurtas,trousers,puffer jacket
9,8,68,9.576059361658077,clear,morning,winter,party,kurtas,trousers,coat
11,11,47,12.638312465602166,cloudy,night,winter,work,shirts,jeans,puffer jacket
8,6,40,2.7935812485987563,sunny,night,winter,work,shirts,trousers,puffer jacket
4,5,60,3.5192404133603716,cloudy,evening,winter,casual,shirts,jeans,coat
4,5,78,14.70549710278063,foggy,evening,winter,party,shirts,jeans,puffer jacket
9,7,57,8.894241003769228,clear,morning,winter,party,shirts,jeans,puffer jacket
10,11,73,13.427102966398415,cloudy,morning,winter,work,kurtas,leggings,puffer jacket
2,4,50,6.719745741677814,clear,evening,winter,party,shirts,jeans,puffer jacket
8,10,57,4.863671316861332,foggy,morning,winter,casual,kurtas,jeans,coat
5,4,44,8.995059372048027,sunny,evening,winter,party,shirts,leggings,coat
9,9,40,11.016646182237992,clear,afternoon,winter,party,shirts,jeans,coat
9,9,72,10.492573964414236,clear,night,winter,party,kurtas,trousers,puffer jacket
5,3,53,13.199894134102502,foggy,night,winter,party,kurtas,capris,puffer jacket
12,11,36,11.95314771914277,foggy,evening,winter,casual,tops,trousers,puffer jacket
3,5,41,3.2081703095131022,cloudy,afternoon,winter,party,tops,trousers,puffer jacket
9,7,86,12.7163068853905,cloudy,night,winter,casual,kurtas,trousers,coat
11,10,83,8.521981201179283,foggy,afternoon,winter,party,kurtas,jeans,coat
13,13,61,2.900964671668338,cloudy,evening,winter,party,tops,capris,coat
13,12,87,8.456506574636284,foggy,morning,winter,party,shirts,trousers,coat
8,6,70,3.4325778142662395,clear,afternoon,winter,party,shirts,capris,coat
9,11,60,6.773375469342731,cloudy,night,winter,work,kurtas,trousers,puffer jacket
9,9,63,9.921209609982533,cloudy,afternoon,winter,party,shirts,trousers,coat
2,2,43,14.744507100791138,foggy,afternoon,winter,party,kurtas,jeans,coat
10,9,37,2.1262550659707116,cloudy,night,winter,party,shirts,jeans,puffer jacket
5,5,87,4.841429425414967,sunny,night,winter,casual,kurtas,trousers,coat
10,8,62,9.499521049237933,sunny,evening,winter,work,tops,trousers,puffer jacket
12,11,42,5.027588488561689,clear,morning,winter,work,kurtas,jeans,puffer jacket
5,4,55,2.7860775107725932,clear,night,winter,party,shirts,jeans,coat
11,12,72,12.913813163808385,cloudy,afternoon,winter,party,kurtas,jeans,coat
2,3,80,3.2320833043113817,cloudy,morning,winter,work,kurtas,jeans,puffer jacket
3,5,58,6.921380234611585,clear,night,winter,work,shirts,trousers,puffer jacket
9,8,37,14.507452105159908,cloudy,night,winter,work,tops,trousers,coat
5,6,74,8.174117438579804,cloudy,evening,winter,work,tops,trousers,coat
12,11,72,10.991433500286497,cloudy,evening,winter,work,shirts,capris,coat
8,6,85,11.453827457821424,clear,night,winter,casual,shirts,capris,coat
5,6,51,14.036834762513383,clear,morning,winter,work,kurtas,trousers,coat
6,8,46,2.7307230115944963,cloudy,afternoon,winter,work,shirts,capris,coat
3,1,76,11.042331145391932,cloudy,night,winter,party,kurtas,trousers,coat
4,5,61,13.175182356506342,sunny,morning,winter,work,kurtas,leggings,coat
11,9,83,7.04344335721445,sunny,evening,winter,work,tops,jeans,puffer jacket
4,2,52,6.051030338023824,clear,afternoon,winter,party,kurtas,jeans,puffer jacket
9,7,58,4.93676895670963,cloudy,morning,winter,casual,kurtas,jeans,puffer jacket
11,12,71,12.224523771316978,sunny,morning,winter,casual,kurtas,jeans,coat
7,9,66,3.5738062472264676,foggy,afternoon,winter,casual,tops,jeans,coat
7,9,37,2.2260251178055164,sunny,evening,winter,party,kurtas,leggings,coat
10,10,87,6.523066290585401,cloudy,afternoon,winter,casual,shirts,jeans,puffer jacket
10,10,42,12.741071407566386,clear,night,winter,casual,kurtas,trousers,puffer jacket
6,4,83,12.198030622389977,foggy,afternoon,winter,casual,kurtas,trousers,coat
2,0,77,8.036336818304523,sunny,evening,winter,casual,shirts,trousers,coat
12,11,76,6.873108957927432,foggy,evening,winter,work,kurtas,trousers,puffer jacket
2,2,40,8.198385016964384,cloudy,evening,winter,party,kurtas,jeans,puffer jacket
10,11,40,6.067104166277302,sunny,night,winter,casual,kurtas,trousers,puffer jacket
10,10,53,6.757200310834852,cloudy,afternoon,winter,party,kurtas,jeans,puffer jacket
3,5,69,10.448941250251158,clear,morning,winter,party,shirts,trousers,puffer jacket
13,14,35,2.3256178331454795,cloudy,night,winter,casual,tops,trousers,coat
12,11,75,11.304377707029563,clear,night,winter,work,kurtas,leggings,puffer jacket
6,8,59,11.15755510496893,foggy,morning,winter,party,shirts,leggings,coat
13,13,43,9.872275065427349,clear,night,winter,casual,tops,trousers,coat
13,13,80,11.028819434339923,foggy,morning,winter,work,tops,trousers,coat
10,11,85,1.4183649243660272,sunny,afternoon,winter,work,shirts,trousers,coat
8,8,39,12.660090612960744,cloudy,evening,winter,casual,kurtas,capris,coat
6,6,43,6.555657401664714,foggy,evening,winter,casual,shirts,leggings,puffer jacket
10,12,63,14.070461516383645,sunny,morning,winter,casual,kurtas,jeans,puffer jacket
4,4,60,8.795240679730197,sunny,afternoon,winter,work,shirts,trousers,coat
5,5,39,5.067093915713697,cloudy,evening,winter,work,kurtas,trousers,puffer jacket
8,9,78,9.83856232469503,sunny,afternoon,winter,casual,kurtas,jeans,puffer jacket
12,10,67,3.4876406153846737,foggy,evening,winter,party,kurtas,leggings,coat
11,13,51,9.097109367552672,sunny,night,winter,party,shirts,jeans,puffer jacket
6,7,38,2.9942258366057346,cloudy,morning,winter,party,shirts,leggings,coat
2,2,89,5.166868070474985,cloudy,morning,winter,casual,tops,trousers,puffer jacket
11,11,65,1.8052254209455039,sunny,night,winter,party,tops,trousers,coat
8,10,83,14.35589035964246,cloudy,evening,winter,work,tops,jeans,puffer jacket
13,12,76,2.0613863533625563,clear,night,winter,work,kurtas,trousers,coat
3,2,36,6.388999171499125,clear,afternoon,winter,party,shirts,jeans,coat
2,4,65,4.836909955416766,foggy,evening,winter,work,tops,leggings,puffer jacket
7,6,49,12.057421770972773,clear,night,winter,work,tops,capris,puffer jacket
5,3,70,10.211663677857707,foggy,night,winter,casual,kurtas,jeans,puffer jacket
8,7,45,4.027464686193218,clear,evening,winter,casual,shirts,jeans,coat
5,7,68,6.658850245057233,sunny,morning,winter,party,kurtas,trousers,coat
10,11,35,9.184264072121508,clear,afternoon,winter,work,kurtas,jeans,puffer jacket
9,10,83,13.918982623515197,foggy,afternoon,winter,casual,shirts,leggings,puffer jacket
10,9,70,5.426300548263606,sunny,night,winter,casual,shirts,jeans,puffer jacket
10,8,83,6.394236392288509,sunny,evening,winter,work,shirts,jeans,coat
12,12,47,11.751451507863193,clear,night,winter,party,shirts,trousers,coat
11,9,39,13.729112890362732,sunny,night,winter,work,kurtas,capris,puffer jacket
9,8,60,6.2437436526053975,foggy,night,winter,party,shirts,jeans,puffer jacket
10,8,83,6.40091795246691,cloudy,morning,winter,party,kurtas,jeans,coat
4,3,65,4.581742050432544,cloudy,afternoon,winter,party,shirts,jeans,puffer jacket
7,6,84,11.156399242535255,sunny,afternoon,winter,party,tops,leggings,puffer jacket
7,7,89,2.0544688160650963,cloudy,morning,winter,party,shirts,capris,coat
9,7,40,9.369980703680197,foggy,afternoon,winter,casual,kurtas,jeans,coat
2,0,37,13.671610701664358,sunny,evening,winter,party,kurtas,trousers,puffer jacket
7,6,75,11.405199813089817,sunny,morning,winter,party,shirts,jeans,coat
12,14,88,8.735039225976607,clear,evening,winter,work,kurtas,jeans,puffer jacket
7,5,50,9.837403576985784,clear,evening,winter,casual,shirts,leggings,puffer jacket
2,2,83,5.899289075791691,sunny,night,winter,work,shirts,jeans,puffer jacket
5,7,88,6.829618228442855,foggy,afternoon,winter,work,tops,jeans,coat
5,3,82,5.590862997042898,sunny,afternoon,winter,casual,shirts,trousers,puffer jacket
11,11,62,3.0770154805717738,foggy,night,winter,party,tops,leggings,puffer jacket
8,9,70,1.0989636782483176,sunny,night,winter,party,kurtas,jeans,coat
5,3,66,11.735846903124692,cloudy,morning,winter,work,tops,jeans,puffer jacket
9,11,65,2.151545384443938,foggy,afternoon,winter,party,shirts,trousers,puffer jacket
5,6,50,13.421625339744224,cloudy,morning,winter,casual,tops,trousers,puffer jacket
12,11,45,7.12496641511304,clear,afternoon,winter,casual,shirts,jeans,coat
4,3,85,7.4118955420021155,foggy,night,winter,casual,shirts,trousers,puffer jacket
3,4,48,9.657093914670977,foggy,evening,winter,casual,shirts,trousers,puffer jacket
9,9,85,4.8133887450000215,foggy,night,winter,party,shirts,trousers,coat
13,11,51,2.728325891365003,cloudy,evening,winter,party,tops,trousers,puffer jacket
11,10,69,11.813289714293234,foggy,morning,winter,work,kurtas,leggings,coat
10,8,69,10.07767900398798,foggy,evening,winter,casual,tops,jeans,puffer jacket
13,12,40,3.938696363332536,cloudy,evening,winter,work,shirts,jeans,puffer jacket
10,10,46,1.2481247712821828,cloudy,evening,winter,work,shirts,jeans,coat
4,4,65,8.450814082451172,cloudy,morning,winter,party,shirts,trousers,puffer jacket
4,2,80,10.800948380834944,clear,morning,winter,casual,shirts,trousers,puffer jacket
5,3,85,2.0568597267334896,clear,evening,winter,casual,kurtas,leggings,coat
11,13,67,14.183460119786297,cloudy,night,winter,work,shirts,trousers,puffer jacket
2,1,45,12.787002132336479,clear,afternoon,winter,work,shirts,jeans,coat
9,10,89,9.311901910097674,cloudy,night,winter,casual,shirts,leggings,puffer jacket
4,4,84,14.074785097277884,sunny,night,winter,work,shirts,trousers,puffer jacket
5,4,61,12.87212953810321,foggy,afternoon,winter,party,shirts,trousers,coat
13,14,64,5.516408673919498,clear,night,winter,casual,kurtas,jeans,puffer jacket
6,5,84,14.890415438278557,sunny,night,winter,work,tops,capris,coat
3,5,74,3.782079329167208,foggy,night,winter,party,tops,leggings,coat
8,10,88,8.684445154884468,sunny,morning,winter,work,kurtas,jeans,coat
9,7,72,10.683694060694954,foggy,afternoon,winter,casual,tops,jeans,coat
13,13,68,4.931789841006537,clear,night,winter,party,shirts,jeans,coat
8,7,60,2.3944442173049,clear,afternoon,winter,work,shirts,jeans,coat
3,2,37,10.037577819531373,foggy,afternoon,winter,work,tops,jeans,puffer jacket
